state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
Washington,No,Basic,Bachelor,Employed,F,Suburban,Married,Corporate Auto,L3,Offer1,Agent,Two-Door Car,Medsize
Nevada,No,Premium,Bachelor,Employed,F,Suburban,Married,Personal Auto,L3,Offer1,Agent,Two-Door Car,Medsize
California,No,Basic,Bachelor,Other,M,Suburban,Married,Corporate Auto,L2,Offer1,Call Center,SUV,Medsize
Washington,No,Basic,Bachelor,Employed,M,Rural,Single,Personal Auto,L1,Offer1,Agent,Four-Door Car,Medsize
Oregon,Yes,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,L3,Offer2,Web,Two-Door Car,Medsize
Oregon,Yes,Basic,College,Employed,F,Suburban,Married,Corporate Auto,L3,Offer1,Agent,Four-Door Car,Medsize
Arizona,No,Premium,Postgraduate,Other,M,Urban,Single,Corporate Auto,L3,Offer1,Agent,Four-Door Car,Medsize
Oregon,No,Extended,College,Employed,F,Urban,Married,Special Auto,L2,Offer2,Branch,Four-Door Car,Medsize
California,No,Basic,College,Other,M,Suburban,Single,Personal Auto,L3,Offer1,Agent,Four-Door Car,Small
California,No,Basic,College,Other,F,Suburban,Married,Personal Auto,L3,Offer2,Agent,SUV,Medsize
California,No,Premium,Postgraduate,Employed,M,Urban,Married,Corporate Auto,L1,Offer2,Agent,Four-Door Car,Medsize
Arizona,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Corporate Auto,L3,Offer2,Branch,SUV,Medsize
California,No,Basic,College,Employed,M,Urban,Single,Corporate Auto,L3,Offer4,Call Center,Four-Door Car,Medsize
Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,L2,Offer2,Branch,Four-Door Car,Medsize
Nevada,No,Basic,High School or Below,Other,M,Suburban,Married,Personal Auto,L3,Offer2,Call Center,Two-Door Car,Medsize
California,No,Basic,College,Other,M,Suburban,Married,Personal Auto,L2,Offer3,Call Center,SUV,Medsize
Oregon,No,Basic,College,Employed,M,Urban,Married,Personal Auto,L2,Offer2,Branch,Four-Door Car,Medsize
California,No,Premium,High School or Below,Employed,F,Suburban,Married,Corporate Auto,L2,Offer1,Call Center,Four-Door Car,Small
Oregon,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,L2,Offer1,Branch,Two-Door Car,Medsize
Washington,No,Extended,Bachelor,Other,F,Suburban,Divorced,Personal Auto,L3,Offer4,Call Center,Four-Door Car,Medsize
Nevada,No,Basic,Bachelor,Other,F,Suburban,Single,Corporate Auto,L3,Offer1,Branch,Four-Door Car,Medsize
California,No,Basic,Bachelor,Other,F,Suburban,Married,Corporate Auto,L2,Offer2,Branch,Four-Door Car,Medsize
Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,L3,Offer2,Call Center,Four-Door Car,Large
California,No,Premium,Bachelor,Other,F,Suburban,Single,Personal Auto,L3,Offer1,Agent,Four-Door Car,Small
Washington,No,Extended,Postgraduate,Other,F,Urban,Married,Corporate Auto,L1,Offer1,Branch,SUV,Medsize
Arizona,No,Premium,College,Employed,F,Suburban,Single,Personal Auto,L3,Offer1,Call Center,Four-Door Car,Large
Oregon,No,Extended,Postgraduate,Employed,F,Suburban,Married,Personal Auto,L3,Offer2,Branch,Four-Door Car,Small
Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,L2,Offer4,Call Center,Four-Door Car,Small
California,No,Basic,Bachelor,Other,M,Urban,Married,Personal Auto,L3,Offer1,Call Center,Four-Door Car,Medsize
Washington,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate Auto,L2,Offer1,Agent,Two-Door Car,Small
Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,L1,Offer3,Web,Four-Door Car,Medsize
Arizona,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,L1,Offer1,Branch,Four-Door Car,Medsize
California,No,Premium,Bachelor,Employed,M,Suburban,Married,Personal Auto,L3,Offer1,Agent,Four-Door Car,Small
Oregon,No,Extended,Postgraduate,Employed,F,Suburban,Married,Personal Auto,L3,Offer2,Web,Four-Door Car,Small
Oregon,No,Extended,Bachelor,Other,M,Suburban,Single,Personal Auto,L2,Offer3,Agent,Two-Door Car,Small
Arizona,No,Basic,High School or Below,Employed,M,Rural,Divorced,Personal Auto,L3,Offer1,Call Center,Four-Door Car,Medsize
Nevada,No,Basic,High School or Below,Other,F,Suburban,Married,Corporate Auto,L3,Offer3,Call Center,Two-Door Car,Medsize
Oregon,Yes,Basic,College,Employed,F,Rural,Single,Corporate Auto,L3,Offer2,Agent,Two-Door Car,Medsize
California,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,L2,Offer2,Agent,Four-Door Car,Small
Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,L2,Offer4,Agent,Sports Car,Medsize
Washington,No,Basic,College,Employed,M,Suburban,Married,Special Auto,L2,Offer2,Call Center,Four-Door Car,Large
Arizona,No,Basic,Bachelor,Other,M,Suburban,Single,Personal Auto,L3,Offer3,Call Center,Four-Door Car,Medsize
Oregon,No,Basic,High School or Below,Employed,F,Suburban,Single,Personal Auto,L2,Offer4,Agent,Two-Door Car,Medsize
California,No,Extended,Bachelor,Other,F,Suburban,Married,Corporate Auto,L2,Offer2,Call Center,Four-Door Car,Medsize
Arizona,No,Basic,High School or Below,Other,F,Suburban,Married,Personal Auto,L2,Offer4,Branch,Four-Door Car,Medsize
Nevada,No,Basic,High School or Below,Employed,F,Rural,Married,Special Auto,L1,Offer4,Branch,Four-Door Car,Medsize
Washington,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,L3,Offer4,Agent,Four-Door Car,Medsize
California,No,Premium,Bachelor,Other,M,Suburban,Married,Personal Auto,L2,Offer1,Branch,Four-Door Car,Small
Arizona,No,Extended,College,Employed,F,Suburban,Divorced,Corporate Auto,L3,Offer3,Call Center,Four-Door Car,Small
California,No,Basic,College,Employed,M,Urban,Married,Special Auto,L2,Offer2,Branch,Four-Door Car,Medsize
Arizona,No,Basic,High School or Below,Other,F,Suburban,Married,Personal Auto,L2,Offer1,Call Center,SUV,Small
Oregon,No,Extended,High School or Below,Other,F,Suburban,Divorced,Personal Auto,L3,Offer1,Call Center,SUV,Medsize
Oregon,No,Premium,Postgraduate,Other,F,Suburban,Divorced,Personal Auto,L1,Offer1,Agent,Four-Door Car,Medsize
Arizona,Yes,Basic,Bachelor,Other,M,Suburban,Divorced,Personal Auto,L1,Offer1,Agent,Four-Door Car,Medsize
California,No,Premium,Bachelor,Other,F,Suburban,Married,Personal Auto,L3,Offer1,Call Center,Two-Door Car,Small
Oregon,No,Extended,Bachelor,Other,M,Suburban,Single,Personal Auto,L3,Offer1,Agent,Two-Door Car,Small
Arizona,No,Basic,Bachelor,Other,F,Suburban,Single,Personal Auto,L3,Offer3,Branch,Four-Door Car,Large
Washington,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,L3,Offer3,Web,Four-Door Car,Medsize
Oregon,No,Basic,College,Employed,F,Suburban,Divorced,Corporate Auto,L3,Offer1,Agent,SUV,Medsize
Arizona,No,Extended,High School or Below,Employed,F,Urban,Married,Personal Auto,L3,Offer4,Branch,Two-Door Car,Small
Oregon,Yes,Extended,Bachelor,Other,F,Suburban,Divorced,Personal Auto,L3,Offer1,Call Center,Two-Door Car,Large
California,No,Premium,College,Other,F,Suburban,Married,Personal Auto,L3,Offer3,Web,Four-Door Car,Medsize
Oregon,No,Basic,Postgraduate,Employed,M,Rural,Married,Personal Auto,L2,Offer2,Web,Two-Door Car,Large
Oregon,No,Basic,Postgraduate,Other,M,Suburban,Married,Personal Auto,L1,Offer1,Agent,Four-Door Car,Medsize
Oregon,Yes,Basic,Bachelor,Employed,M,Suburban,Divorced,Personal Auto,L3,Offer2,Branch,Two-Door Car,Medsize
Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,L3,Offer2,Branch,Four-Door Car,Small
Oregon,No,Basic,High School or Below,Employed,F,Rural,Single,Personal Auto,L1,Offer2,Call Center,Four-Door Car,Medsize
Nevada,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,L1,Offer2,Agent,Four-Door Car,Medsize
Washington,No,Extended,College,Employed,M,Rural,Married,Personal Auto,L3,Offer1,Agent,Four-Door Car,Medsize
California,No,Extended,College,Other,F,Rural,Single,Personal Auto,L3,Offer3,Branch,Two-Door Car,Large
California,Yes,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,L3,Offer2,Call Center,Four-Door Car,Medsize
California,No,Basic,Postgraduate,Employed,M,Suburban,Married,Personal Auto,L1,Offer3,Branch,SUV,Medsize
Nevada,No,Basic,Postgraduate,Employed,M,Suburban,Married,Personal Auto,L3,Offer2,Call Center,Four-Door Car,Large
Oregon,No,Extended,College,Other,F,Suburban,Single,Personal Auto,L3,Offer2,Agent,Four-Door Car,Small
Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,L2,Offer1,Call Center,Four-Door Car,Medsize
California,Yes,Extended,College,Other,M,Suburban,Married,Personal Auto,L1,Offer1,Agent,Four-Door Car,Medsize
California,No,Basic,Bachelor,Employed,F,Urban,Married,Corporate Auto,L2,Offer3,Web,Four-Door Car,Medsize
Oregon,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Personal Auto,L2,Offer3,Branch,Four-Door Car,Medsize
California,Yes,Extended,College,Employed,M,Suburban,Married,Personal Auto,L3,Offer1,Branch,Four-Door Car,Medsize
Oregon,No,Premium,College,Other,M,Suburban,Married,Personal Auto,L3,Offer2,Branch,Two-Door Car,Small
Washington,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Corporate Auto,L3,Offer2,Call Center,Two-Door Car,Medsize
Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,L3,Offer1,Agent,Four-Door Car,Medsize
Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate Auto,L1,Offer1,Branch,Two-Door Car,Small
California,No,Extended,High School or Below,Other,F,Suburban,Single,Personal Auto,L2,Offer1,Agent,Four-Door Car,Medsize
Arizona,No,Basic,Postgraduate,Other,F,Rural,Married,Personal Auto,L3,Offer1,Branch,SUV,Medsize
California,No,Basic,Bachelor,Other,M,Suburban,Married,Personal Auto,L2,Offer1,Agent,Four-Door Car,Medsize
Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,L1,Offer3,Web,Four-Door Car,Medsize
Oregon,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,L2,Offer1,Agent,Two-Door Car,Small
California,Yes,Basic,College,Other,F,Suburban,Married,Personal Auto,L3,Offer1,Agent,SUV,Medsize
California,Yes,Basic,College,Other,M,Suburban,Single,Personal Auto,L1,Offer1,Branch,Four-Door Car,Medsize
Oregon,No,Basic,Bachelor,Employed,M,Rural,Single,Corporate Auto,L3,Offer3,Call Center,Two-Door Car,Medsize
California,Yes,Premium,College,Employed,M,Suburban,Married,Personal Auto,L3,Offer2,Branch,Four-Door Car,Medsize
Oregon,No,Extended,Bachelor,Employed,F,Rural,Married,Personal Auto,L3,Offer1,Call Center,Four-Door Car,Small
California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,L1,Offer3,Branch,Four-Door Car,Medsize
Oregon,No,Basic,High School or Below,Other,M,Suburban,Married,Personal Auto,L1,Offer1,Agent,SUV,Medsize
California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,L3,Offer1,Agent,Two-Door Car,Medsize
Oregon,No,Basic,College,Employed,M,Urban,Married,Corporate Auto,L1,Offer4,Agent,Four-Door Car,Medsize
California,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,L3,Offer4,Agent,Four-Door Car,Small
Washington,No,Extended,High School or Below,Employed,M,Suburban,Divorced,Corporate Auto,L2,Offer2,Web,Four-Door Car,Small
Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,L3,Offer2,Branch,SUV,Medsize
Oregon,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,L3,Offer1,Agent,Four-Door Car,Medsize
California,No,Basic,High School or Below,Other,M,Suburban,Married,Corporate Auto,L2,Offer1,Agent,SUV,Medsize
Oregon,Yes,Extended,High School or Below,Other,M,Suburban,Divorced,Personal Auto,L3,Offer2,Agent,SUV,Medsize
Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,L3,Offer2,Branch,Two-Door Car,Medsize
California,No,Basic,Bachelor,Employed,F,Suburban,Single,Personal Auto,L2,Offer3,Agent,Two-Door Car,Medsize
California,No,Extended,College,Employed,F,Urban,Married,Corporate Auto,L2,Offer2,Call Center,Four-Door Car,Medsize
Washington,No,Extended,College,Other,M,Suburban,Married,Personal Auto,L2,Offer3,Web,Two-Door Car,Medsize
California,No,Basic,Bachelor,Employed,M,Rural,Married,Personal Auto,L3,Offer1,Call Center,Sports Car,Medsize
